,Date,LocationNo,SalesFloorSize,total_Income,total_IncomePerSqFt,total_PurchasesCash,total_PurchasesOther,total_CostOfGoodsSold,total_GrossProfit,total_GrossProfitPerSqFt,total_NetIncomeLoss
167,2009-02-01,00080,6501,130519.0,20.076757,20766.0,16731.0,47789.0,82730.0,12.725734,6668.0
168,2009-02-01,00081,8268,186013.0,22.497943,26398.0,23241.0,53451.0,132562.0,16.033139,27931.0
169,2009-02-01,00082,6178,124753.0,20.193104,24024.0,16985.0,47907.0,76846.0,12.438653,-4971.0
170,2009-02-01,00083,8687,145636.0,16.76482,17166.0,15663.0,47415.0,98221.0,11.306665,14744.0
171,2009-02-01,00084,10789,118839.0,11.014829,15105.0,18488.0,42218.0,76621.0,7.10177,8425.0
172,2009-02-01,00085,8390,189184.0,22.548748,26763.0,18016.0,57018.0,132166.0,15.7528,29300.0
173,2009-02-01,00086,7470,135276.0,18.109236,21550.0,16691.0,46298.0,88978.0,11.911378,15653.0
174,2009-02-01,00087,8161,120971.0,14.82306,22676.0,15581.0,45512.0,75459.0,9.246293,514.0
175,2009-02-01,00088,7940,171202.0,21.561964,26560.0,20630.0,60144.0,111058.0,13.987153,10807.0
176,2009-02-01,00090,9901,119091.0,12.028178,23748.0,14996.0,44737.0,74354.0,7.509746,-508.0
177,2009-02-01,00091,6072,114495.0,18.856225,23826.0,16136.0,49123.0,65372.0,10.766139,-8283.0
178,2009-02-01,00094,5551,104559.0,18.836065,23249.0,14948.0,38955.0,65604.0,11.818411,-1134.0
179,2009-02-01,00095,7360,102812.0,13.969021,17508.0,16877.0,43317.0,59495.0,8.083559,-11018.0
180,2009-02-01,00096,6222,109646.0,17.622307,17632.0,12971.0,39033.0,70613.0,11.348923,1691.0
181,2009-02-01,00097,8127,107330.0,13.206595,20409.0,13801.0,43291.0,64039.0,7.879783,-13032.0
182,2009-02-01,00098,7381,122577.0,16.607099,21325.0,16751.0,47733.0,74844.0,10.140089,-623.0
183,2009-02-01,00099,8003,135930.0,16.98488,24213.0,14687.0,49020.0,86910.0,10.859677,10221.0
184,2009-02-01,00100,6861,108258.0,15.778749,19302.0,14612.0,36256.0,72002.0,10.494388,9489.0
185,2009-02-01,00102,6140,-23.0,-0.003745,12878.0,6702.0,0.0,-23.0,-0.003745,-87537.0
186,2009-02-01,00103,6175,2.0,0.000323,13106.0,15386.0,6.0,-4.0,-0.000647,-63431.0
187,2009-02-01,00104,8161,0.0,0.0,17174.0,10988.0,-1.0,1.0,0.000122,-54705.0
188,2009-03-01,00001,40396,770815.0,19.081468,109930.0,86692.0,216667.0,554148.0,13.717892,143340.0
189,2009-03-01,00002,8161,143076.0,17.531675,25768.0,20998.0,47138.0,95938.0,11.755667,10980.0
190,2009-03-01,00003,8183,212563.0,25.97617,32206.0,29428.0,68403.0,144160.0,17.61701,9101.0
191,2009-03-01,00004,6688,128131.0,19.158343,18053.0,20460.0,44353.0,83778.0,12.526614,-900.0
192,2009-03-01,00005,16239,364934.0,22.472689,42549.0,47735.0,107577.0,257357.0,15.848081,73847.0
193,2009-03-01,00006,6589,135276.0,20.530581,17866.0,21548.0,47724.0,87552.0,13.2876,10333.0
194,2009-03-01,00007,7563,153979.0,20.359513,19811.0,24379.0,48313.0,105666.0,13.971439,29542.0
195,2009-03-01,00008,8077,205779.0,25.477157,33672.0,26666.0,62875.0,142904.0,17.692707,39532.0
196,2009-03-01,00009,7218,179034.0,24.803823,24023.0,27934.0,59844.0,119190.0,16.512884,13500.0
197,2009-03-01,00010,4948,100381.0,20.287186,11183.0,19156.0,35117.0,65264.0,13.189975,3845.0
198,2009-03-01,00011,6652,213690.0,32.124173,31216.0,32847.0,72342.0,141348.0,21.248947,26057.0
199,2009-03-01,00012,7806,177473.0,22.735459,27497.0,18811.0,51820.0,125653.0,16.096976,31379.0
200,2009-03-01,00013,6659,201947.0,30.326925,35782.0,19730.0,71866.0,130081.0,19.534614,24758.0
